Depth_in_Drive,Core_Length,Abs_depth_cm,Age_clam,Volume,Abies_ whole,Abies_tip,Abies_mid,Abies_base,Abies_needles_total,Abies_Microstrobili,Abies_Microsporangia,Abies_Conescale,Abies_Conebract,Abies_seed,Abies total macro,Acerub_seed,Acerub_bud,Acerrub_total,Acersac_Seed,Acersac_samara,Acersac_bud,Acersac_total,Asteraceae,Betsp_seed,Betsp_bract,Betal_fruit,Betal_bract,Betal_fruitsandbracts,Betal_bud,Betpap_fruit,Betpap_bract,Betpap_fruitsandbracts,Betpap_bud,Unknownconiferbudscale,Unknownconiferbud,Cyperaceae_fruit,Unknowndeciduousbudscale,Dulichium_fruit,Fagus_bud,Fagus_lf,Quercus_bud,Najas,Nuphar,Pop_bud,Pinst_needtip,Pinst_needlemid,Pinst_needlebase,Pist_nedwh,pinst_needleraw,Pist needle total (STD50),Pinst_Budraw,Pins_tbudSTD50,Pinst_seed,Pinst_Microstrobili,Pinst_Microsporangia,Pinst_Seedwing,Pinst_Shortshootnoneedles,Pinst_Shortshootwithneedles,Pinst_Twig,Pinst_macrototal,Pinres_netip,Pinres_nemid,Pinres_nebase,PinRes_needles,Pinres_Shortshootnoneedles,Pinres_Shortshootwithneedles,Pinres_Microstrobili,Pinres_Microsporangia,Pinres_twig,Pinres_bud,Pinres_macrototal,Pinbank_mid,Pinbank_Sparangia,Pinbank_needles,Pic_needwhole,Pic_needtip,Pic_needmid,Pic_needbase,Pic_needletotal,Pic_needtwig,Pic_needbudscale,Picea_macrototal,Lar_needtip,Lar_needmid,Lar_needbase,Larix_needletotal,Tsuga_nedwhole,Tsuga_nedtip,Tsuga_needmid,Tsuga_needmbase,Tsuga_needletotal,TSCA_NEEDLETotalSTD50,Tsuga_seed,Tsuga_twig,Tsuga_Microstobili,Tsuga_Microsporangia,Tsuga_bud,Tsuga_Conescale,Tsuga_Seedwing,Tsuga_macrototal,TCTOTSTD,Taxus,Macrofossil sample,Core depth
55,55,115,2922,30,0,0,3.333333333,0,1.667,0,0,0,0,0,1.667,0,0,0,0,0,3.333333333,3.333333333,0,0,0,18.33333333,0,18.33333333,0,0,0,0,0,186.6666667,0,0,0,0,0,0,0,0,0,0,1.666666667,73.33333333,0,0,,1.666666667,,130,0,0,0,0,0,0,0,131.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.666666667,15,20,20,0,0,1.666666667,8.333333333,0,0,0,50,30,0,1,55
60,60,120,3020,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,16,0,16,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,4,102,0,0,,4,,102,0,2,6,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,0,0,6,2,0,0,0,28,18,0,1,60
65,65,125,3128,30,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.666666667,1.666666667,0,0,1.666666667,0,5,0,28.33333333,1.666666667,30,0,0,0,0,0,190,0,0,0,0,0,0,0,1.666666667,0,0,0,138.3333333,0,0,,1.666666667,,190,0,0,5,0,3.333333333,5,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.666666667,0,5,10,10,0,0,0,10,0,0,0,30,20,0,1,65
70,70,130,3182,25,4,2,2,0,6,0,0,0,0,0,6,0,0,0,0,0,8,8,0,0,0,26,4,30,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,2,84,0,0,,2,,100,2,0,4,2,4,6,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,2,0,0,0,0,10,6,0,1,70
75,75,135,3310,25,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,2,14,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,2,108,0,0,,2,,100,0,0,0,12,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,10,10,0,0,0,0,0,0,0,20,10,0,1,75
80,80,140,3346,22,0,2.272727273,0,0,2.2727,0,0,0,0,0,2.2727,0,0,0,0,0,0,0,0,13.63636364,4.545454545,27.27272727,11.36363636,38.63636364,0,2.272727273,0,2.272727273,0,234.0909091,0,0,0,0,0,0,0,0,0,0,11.36363636,368.1818182,4.545454545,0,,11.36,,195.4545455,2.272727273,11.36363636,0,2.272727273,0,2.272727273,0,218.1818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80
85,85,145,3405,25,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,40,2,42,0,4,0,4,0,320,0,0,0,2,0,0,0,2,0,0,14,192,2,0,,14,,238,0,2,56,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85
90,90,150,3552,24,0,4.166666667,0,0,4.1667,0,0,0,0,0,4.1667,0,0,0,0,0,8.333333333,8.333333333,0,4.166666667,0,56.25,4.166666667,60.41666667,0,0,0,0,0,533.3333333,0,0,4.166666667,2.083333333,0,0,0,2.083333333,0,0,10.41666667,154.1666667,2.083333333,0,,10.42,,291.6666667,0,6.25,20.83333333,6.25,0,2.083333333,0,329.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,6.25,0,10.41666667,12,12,0,0,0,0,0,0,0,25,12,0,1,90
95,95,155,3597,20,0,2.5,2.5,0,2.5,0,0,0,0,0,2.5,0,2.5,2.5,0,0,0,0,0,0,0,35,5,40,0,0,0,0,0,132.5,0,0,0,0,0,0,2.5,0,0,0,0,52.5,0,0,,2.5,,115,0,0,0,5,0,0,0,122.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,10,5,0,1,95
4,104,164,3704,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.5,22.5,5,27.5,0,0,0,0,0,210,0,0,0,0,0,0,0,5,0,0,7.5,100,2.5,0,,7.5,,110,0,0,135,0,0,0,0,247.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,5,8,8,2.5,0,0,0,2.5,0,2.5,23,15,0,1,104
