Depth_in_Drive,Core_Length,Abs_depth_cm,Age_clam,Volume,Abies_ whole,Abies_tip,Abies_mid,Abies_base,Abies_needles_total,Abies_Microstrobili,Abies_Microsporangia,Abies_Conescale,Abies_Conebract,Abies_seed,Abies total macro,Acerub_seed,Acerub_bud,Acerrub_total,Acersac_Seed,Acersac_samara,Acersac_bud,Acersac_total,Asteraceae,Betsp_seed,Betsp_bract,Betal_fruit,Betal_bract,Betal_fruitsandbracts,Betal_bud,Betpap_fruit,Betpap_bract,Betpap_fruitsandbracts,Betpap_bud,Unknownconiferbudscale,Unknownconiferbud,Cyperaceae_fruit,Unknowndeciduousbudscale,Dulichium_fruit,Fagus_bud,Fagus_lf,Quercus_bud,Najas,Nuphar,Pop_bud,Pinst_needtip,Pinst_needlemid,Pinst_needlebase,Pist_nedwh,pinst_needleraw,Pist needle total (STD50),Pinst_Budraw,Pins_tbudSTD50,Pinst_seed,Pinst_Microstrobili,Pinst_Microsporangia,Pinst_Seedwing,Pinst_Shortshootnoneedles,Pinst_Shortshootwithneedles,Pinst_Twig,Pinst_macrototal,Pinres_netip,Pinres_nemid,Pinres_nebase,PinRes_needles,Pinres_Shortshootnoneedles,Pinres_Shortshootwithneedles,Pinres_Microstrobili,Pinres_Microsporangia,Pinres_twig,Pinres_bud,Pinres_macrototal,Pinbank_mid,Pinbank_Sparangia,Pinbank_needles,Pic_needwhole,Pic_needtip,Pic_needmid,Pic_needbase,Pic_needletotal,Pic_needtwig,Pic_needbudscale,Picea_macrototal,Lar_needtip,Lar_needmid,Lar_needbase,Larix_needletotal,Tsuga_nedwhole,Tsuga_nedtip,Tsuga_needmid,Tsuga_needmbase,Tsuga_needletotal,TSCA_NEEDLETotalSTD50,Tsuga_seed,Tsuga_twig,Tsuga_Microstobili,Tsuga_Microsporangia,Tsuga_bud,Tsuga_Conescale,Tsuga_Seedwing,Tsuga_macrototal,TCTOTSTD,Taxus,Macrofossil sample,Core depth
85,185,246,4659,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,6,56,6,,,,,129,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,,,,,,,,,1,3,,1,185
86,186,246,4667,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,28,3,,3,,153,382.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,5,,,,,,,,7,18,,1,186
87,187,247,4675,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,,8,,94,235,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,3,,,,,,,,4,9,,1,187
88,188,248,4683,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,30,11,,11,,90,225,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,8,,,,,,,,11,26,,1,188
89,189,249,4691,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,2,0,0,0,0,0,0,2,120,2,0,,2,,94,0,0,6,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,2,0,0,0,14,8,0,1,189
90,190,250,4699,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,28,,,3,,32,64,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,2,,,,,,,,3,6,,1,190
2,194,254,4811,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3,14,5,,5,,32,80,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,0,0,,1,194
3,195,255,4839,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,11.6,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,1,49,,,1,,61,138.6363636,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,6,,,,,,6,14,,1,195
4,196,256,4853,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,9.090909091,0,2.272727273,0,0,0,0,0,6.818181818,0,6.818181818,0,202.2727273,0,0,0,0,0,0,2.272727273,0,0,0,6.818181818,120.4545455,6.818181818,0,,6.818181818,,152.2727273,2.272727273,2.272727273,29.54545455,6.818181818,2.272727273,4.545454545,2.272727273,209.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,0,0,15.90909091,20,20,0,2.272727273,0,0,0,0,0,43,23,0,1,196
5,197,257,4867,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,21,6,,6,,16,40,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,0,0,,1,197
7,199,259,4894,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,,2,,12,24,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,6,,6,,,,,,15,30,,1,199
8,200,260,4908,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,2.27,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,,17,3,,3,,10,22.72727273,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,11,,3,,1,,,,20,46,,1,200
9,201,261,4917,21,0,0,2.380952381,0,2.38,0,0,0,0,0,2.38,0,0,0,0,0,7.142857143,7.142857143,0,0,2.380952381,0,0,0,0,2.380952381,2.380952381,4.761904762,0,76.19047619,0,0,0,2.380952381,0,0,0,0,0,0,7.142857143,123.8095238,2.380952381,0,,7.14,,69.04761905,0,4.761904762,128.5714286,0,0,0,0,204.7619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04761905,4.761904762,2.380952381,73.80952381,95,95,16.66666667,11.9047619,0,2.380952381,4.761904762,0,0,226,131,0,1,201
10,202,262,4925,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,,1,,10,22.72727273,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,11,,5,,,,,,21,17,,1,202
11,203,263,4934,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,9,,,1,,4,10,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,7,18,,,,,,,,25,61,,1,203
12,204,264,4943,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,1.92,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,,,6,,6,,6,11.53846154,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,6,6,12,,2,,,,,,20,38,,1,204
13,205,265,4951,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,5,8.33,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,,3,,12,20,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,7,7,12,,,,1,,,,20,33,,1,205
14,206,266,4977,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.172413793,5.172413793,0,3.448275862,0,0,0,0,0,5.172413793,3.448275862,8.620689655,0,74.13793103,0,0,0,3.448275862,0,0,0,0,0,0,1.724137931,74.13793103,0,0,,1.724137931,,48.27586207,0,0,6.896551724,0,0,1.724137931,0,58.62068966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34482759,24.13793103,3.448275862,24.13793103,34,34,24.13793103,15.51724138,3.448275862,13.79310345,17.24137931,0,0,143,109,0,1,206
15,207,267,5003,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,,21,,,1,,7,12.96296296,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,8,15,,,,1,,,,24,18,,1,207
16,208,268,5029,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,1,,5,12.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,13,,3,,,,,,21,51,,1,208
17,209,269,5054,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,3,,3,,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,0,0,,1,209
18,210,270,5080,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,1,,4,6.666666667,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,2,,,,1,,,,4,6,,1,210
19,211,271,5131,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,3.333333333,0,0,0,0,0,13.33333333,0,13.33333333,0,28.33333333,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,,1.666666667,,15,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3.333333333,0,13.33333333,17,17,3.333333333,5,0,0,3.333333333,0,0,45,28,0,1,211
20,212,272,5181,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,,25,,25,,10,20,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,0,19,,1,212
21,213,273,5232,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,,6,,6,,4,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,2,,1,,,,,,4,8,,1,213
22,214,274,5283,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,,45,,45,,16,32,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,21,25,50,,,,,,,,75,150,,1,214
23,215,275,5333,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,32,41,79,,,,,,,,120,230,,1,215
24,216,276,5350,32,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,1.5625,0,0,4.6875,4.6875,0,0,0,0,0,0,0,6.25,0,6.25,0,217.1875,0,0,0,0,0,0,0,0,0,0,1.5625,51.5625,3.125,0,,3.125,,112.5,0,0,14.0625,0,3.125,0,0,131.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,20.3125,0,71.875,91,91,21.875,6.25,0,12.5,0,0,0,222,131,0,1,216
25,217,277,5368,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,6.52,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,4,25,1,,4,,22,47.82608696,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,26,27,59,,,,,,,,86,20,,1,217
26,218,278,5385,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,2.08,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,4,46,1,,4,,10,20.83333333,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,37,42,88,,,,,,,,130,270,,1,218
27,219,279,5402,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,5.77,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,1,,9,17.30769231,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,,19,24,46,,,,,,,,70,135,,1,219
28,220,280,5419,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,,25,,,1,,7,15.2173913,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,22,25,54,,,,,,,,79,172,,1,220
29,221,281,5441,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,3.846153846,0,5.769230769,0,0,0,0,0,0,1.923076923,1.923076923,0,55.76923077,0,0,0,1.923076923,0,0,0,0,0,0,0,15.38461538,0,0,,1.923076923,,30.76923077,0,1.923076923,7.692307692,0,0,0,0,42.30769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692307692,3.846153846,0,30.76923077,38,38,5.769230769,1.923076923,0,0,0,0,0,84,46,0,1,221
30,222,282,5462,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,1,,7,15.90909091,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,7,7,16,,1,,,,,,24,21,,1,222
31,223,283,5484,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,1,,10,22.72727273,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4,9,,,,,,,,13,30,,1,223
32,224,284,5505,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,,12,,,1,,12,30,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,6,15,,,,,,,,21,53,,1,224
33,225,285,5527,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,1,,9,21.42857143,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,18,19,45,,4,,,,,,68,162,,1,225
34,226,286,5539,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,61.9047619,0,2.380952381,0,2.380952381,0,0,2.380952381,0,0,0,21.42857143,214.2857143,2.380952381,0,,21.43,,64.28571429,0,2.380952381,0,0,2.380952381,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,19.04761905,4.761904762,104.7619048,129,129,7.142857143,4.761904762,2.380952381,14.28571429,7.142857143,0,0,294,165,0,1,226
36,228,288,5564,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,,,1,,7,15.2173913,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,24,28,61,,8,,,,,,97,22,,1,228
37,229,289,5577,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,9,19.56521739,,,,,,,,,0,32.61,0,2.174,0,0,0,0,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,,18,24,52,,6,,,,,,82,179,,1,229
38,230,290,5589,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,,,1,,19,35.18518519,,,,,,,,,0,20.37,0,1.852,0,0,0,0,0,0,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,,29,34,63,,2,,,,,,99,183,,1,230
39,231,291,5595,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03030303,0,3.03030303,0,75.75757576,0,0,0,1.515151515,0,0,0,0,0,0,0,36.36363636,0,0,,1.515151515,,80.3030303,0,4.545454545,56.06060606,0,0,0,0,142.4242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.63636364,12.12121212,1.515151515,68.18181818,82,82,18.18181818,6.060606061,3.03030303,3.03030303,0,0,0,194,112,0,1,231
40,232,292,5601,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,5.36,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,1,9,,,1,,18,32.14285714,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,32,47,84,,1,,,,,,132,236,,1,232
41,233,293,5607,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,1.79,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,,7,,,1,,15,26.78571429,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,31,39,70,,4,,,,,,113,23,,1,233
42,234,294,5613,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,1,,13,24.07407407,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,30,35,65,,3,,,,,,103,190,,1,234
43,235,295,5619,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,6,,,1,,13,26,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,,27,31,62,,1,,,,,,94,188,,1,235
44,236,296,5658,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448275862,1.724137931,5.172413793,0,117.2413793,0,0,0,0,0,0,0,0,0,0,1.724137931,24.13793103,0,0,,1.724137931,,60.34482759,0,1.724137931,3.448275862,0,0,0,0,67.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,18.96551724,3.448275862,67.24137931,76,76,22.4137931,6.896551724,3.448275862,6.896551724,0,0,0,191,115,0,1,236
45,237,297,5697,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,6,,,1,,10,18.51851852,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,25,27,50,,3,,,,,,80,148,,1,237
46,238,298,5736,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,,6,3,,3,,14,25,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,18,21,38,,1,,,,,,60,24,,1,238
47,239,299,5775,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,7,,,1,,19,32.75862069,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,16,17,29,,,,,,,,46,80,,1,239
48,240,300,5814,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,3.33,1.67,5,0,0,0,0,0,0,0,0,0,0,0,0,,11,4,,4,,27,45,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,15,21,35,,,,,,,,56,93,,1,240
49,241,301,5819,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,0,1.785714286,0,196.4285714,0,0,0,1.785714286,0,0,0,0,0,0,0,108.9285714,0,0,,1.785714286,,137.5,0,1.785714286,14.28571429,0,3.571428571,0,0,158.9285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07142857,5.357142857,0,30.35714286,46,46,10.71428571,0,0,1.785714286,1.785714286,0,0,106,60,0,1,241
50,242,302,5825,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,4,,4,,43,76.78571429,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,7,7,13,,2,,,,,,22,38,,1,242
51,243,303,5831,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,,,1,,36,66.66666667,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,7,9,17,,2,,,,,,28,25,,1,243
52,244,304,5836,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,1.79,1.79,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,,1,,35,62.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,13,15,27,,,,,,,,42,75,,1,244
53,245,305,5842,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,22,,22,,70,125,,,,,,,,,1.786,5.358,0,3.571,0,0,0,0,0,0,7.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,14,16,29,,2,,,,,,47,83,,1,245
54,246,306,5861,28,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,1.785714286,0,0,0,0,0,0,0,0,0,0,0,5.357142857,0,5.357142857,0,439.2857143,0,0,0,0,0,0,0,1.785714286,0,0,1.785714286,89.28571429,1.785714286,0,,1.785714286,,214.2857143,0,3.571428571,14.28571429,5.357142857,3.571428571,0,0,242.8571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.357142857,1.785714286,0,33.92857143,38,38,16.07142857,0,5.357142857,10.71428571,0,0,0,108,70,0,1,246
55,247,307,5880,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1,24,,,1,,109,201.8518519,,,,,,,,,0,5.358,0,1.786,0,0,0,0,0,0,5.358,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,1.85,3,4,,9,12,22,,1,,,,,,35,65,,1,247
56,248,308,5899,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,6,,6,,111,198.2142857,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,,10,15,27,,1,,,,,,43,26,,1,248
57,249,309,5917,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,1,23,5,,5,,147,229.6875,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,3.13,3,5,1,12,15,23,,1,,,,,,39,62,,1,249
58,250,310,5936,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,8,,8,,167,287.9310345,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,12,12,21,,,,,,,,33,56,,1,250
